Sym,Price,PriceHis,DY%,DY,diffPrice/DY%,H52,L52,AvgPE,PE,Score,isSET100
ASK,21,"[20.9, 20.6, 20.5, 20.6, 23.0]",8.1,1.7,0.07,24.1,14.2,8.27,0,1.49,FALSE
AI,2.36,"[2.36, 2.34, 2.3, 2.26, 2.46]",6.36,0.15,-0.11,2.58,0.71,6.35,8.82,1.37,FALSE
QLT,4.34,"[4.32, 4.26, 4.24, 4.24, 4.12]",5.76,0.25,-0.42,5.3,3.24,56.6,0,1.34,FALSE
SMK,39.5,"[39.0, 38.25, 37.25, 37.75, 38.25]",5.57,2.2,-0.64,42,21.9,7.98,0,1.33,FALSE
IFS,2.62,"[2.58, 2.6, 2.56, 2.56, 2.64]",5.34,0.14,-0.23,3.18,1.69,9.23,9.68,1.31,FALSE
DREIT,4.24,"[4.24, 4.24, 4.22, 4.2, 4.1]",5.02,0.21,-0.19,6,3.22,0,0,1.3,FALSE
PSH,12.8,"[12.6, 12.7, 12.5, 12.4, 12.3]",5.08,0.65,-0.46,15.3,8.3,7.77,10.11,1.29,FALSE
PHOL,2.8,"[2.78, 2.74, 2.74, 2.7, 2.76]",5,0.14,-0.4,3.3,1.25,5.21,7.68,1.29,FALSE
PAP,3.8,"[3.76, 3.76, 3.6, 3.62, 3.88]",4.74,0.18,-0.42,4.1,1.61,18.18,0,1.28,FALSE
MSC,6.15,"[6.1, 6.2, 6.25, 6.65, 6.65]",4.88,0.3,0.73,7.8,3.64,10.69,14.21,1.28,FALSE
TIPCO,10.4,"[10.0, 9.6, 9.3, 9.5, 9.35]",4.81,0.5,-1.7,10.7,4.04,27.96,10.42,1.27,FALSE
TIP,28.75,"[28.5, 28.25, 27.75, 27.75, 28.0]",4.52,1.3,-0.54,31.75,16.6,8.57,8.35,1.26,FALSE
CSC,54,"[53.5, 53.75, 53.5, 53.75, 53.5]",4.54,2.45,-0.16,57.5,39,9.63,11.03,1.26,FALSE
THANI,4.08,"[4.08, 4.06, 4.1, 4.12, 4.14]",4.17,0.17,0.12,4.74,2.18,15.27,12.42,1.23,TRUE
GAHREIT,8.1,"[8.05, 7.95, 8.0, 8.05, 7.9]",3.7,0.3,-0.37,9.1,6.85,0,0,1.22,FALSE
AMA,5.35,"[5.3, 5.3, 5.15, 5.45, 5.7]",3.74,0.2,0.15,6.55,2.72,19.87,16.27,1.2,FALSE
FNS,4.28,"[4.26, 4.22, 4.16, 4.06, 4.14]",3.5,0.15,-0.75,4.38,1.51,19.45,0,1.2,FALSE
CPW,2.3,"[2.28, 2.26, 2.14, 2.26, 2.24]",3.48,0.08,-0.8,2.7,0.88,12.51,0,1.2,FALSE
DRT,6.25,"[6.2, 6.05, 6.0, 5.95, 5.95]",3.52,0.22,-1,6.85,4.06,10.94,9.59,1.19,FALSE
XO,13.3,"[13.3, 13.2, 12.4, 12.7, 12.9]",3.31,0.44,-0.91,14.9,3.14,18.18,0,1.19,FALSE
TU,14,"[13.9, 13.8, 13.8, 13.6, 13.4]",2.86,0.4,-0.75,16.3,10.2,13.28,0,1.16,TRUE
BDMS,20,"[19.9, 20.1, 19.9, 20.0, 20.0]",2.75,0.55,-0.04,23.7,15.6,29.17,0,1.16,TRUE
SVH,404,"[404.0, 399.0, 399.0, 399.0, 396.0]",3.22,13,-0.35,442,375,25.5,27.91,1.16,FALSE
TTW,11.9,"[11.8, 11.7, 11.7, 11.7, 11.7]",2.52,0.3,-0.6,14.3,11,14.35,0,1.14,TRUE
SYNEX,17.1,"[16.6, 16.5, 16.7, 16.7, 17.3]",2.34,0.4,-0.85,18.8,3.6,13.09,0,1.13,FALSE
